CustomerID,Recency,Frequency,Monetary,Cluster,AOV,Segment
12393,72,6,2399.45,0,399.91,Loyal Customers
12394,64,2,1272.48,2,636.24,Frequent Low-Spenders
12396,674,1,931.43,1,931.43,Inactive/At-Risk Customers
12397,36,2,2409.9,0,1204.95,Loyal Customers
12398,46,1,1635.6599999999999,2,1635.66,Frequent Low-Spenders
12399,119,7,1962.3,0,280.33,Loyal Customers
12400,414,1,205.25,1,205.25,Inactive/At-Risk Customers
12401,303,1,84.3,1,84.3,Inactive/At-Risk Customers
12402,323,6,1256.9,0,209.48,Loyal Customers
12403,50,2,1019.36,2,509.68,Frequent Low-Spenders
12404,682,1,63.24,1,63.24,Inactive/At-Risk Customers
12405,149,1,1710.39,2,1710.39,Frequent Low-Spenders
12407,50,5,1708.12,0,341.62,Loyal Customers
12410,309,3,1013.71,1,337.9,Inactive/At-Risk Customers
12411,410,1,346.9,1,346.9,Inactive/At-Risk Customers
12412,75,6,2596.93,0,432.82,Loyal Customers
12413,67,4,999.45,2,249.86,Frequent Low-Spenders
12414,217,6,952.41,0,158.73,Loyal Customers
12416,657,1,202.56,1,202.56,Inactive/At-Risk Customers
12418,113,4,2021.2,0,505.3,Loyal Customers
12419,386,2,503.01,1,251.5,Inactive/At-Risk Customers
12420,64,1,600.39,2,600.39,Frequent Low-Spenders
12421,16,6,1098.6,0,183.1,Loyal Customers
12423,1,10,2622.39,3,262.24,Recent Big Spenders
12424,163,4,3340.0299999999997,0,835.01,Loyal Customers
12425,78,2,1741.41,0,870.7,Loyal Customers
12426,195,2,1345.21,2,672.6,Frequent Low-Spenders
12427,22,3,825.8,2,275.27,Frequent Low-Spenders
12430,43,1,256.4,2,256.4,Frequent Low-Spenders
12434,85,3,1103.43,2,367.81,Frequent Low-Spenders
12436,100,1,509.01,2,509.01,Frequent Low-Spenders
12438,14,2,2906.85,0,1453.42,Loyal Customers
12439,683,2,1142.88,1,571.44,Inactive/At-Risk Customers
12440,462,2,859.2,1,429.6,Inactive/At-Risk Customers
12441,367,1,173.55,1,173.55,Inactive/At-Risk Customers
12442,3,1,172.06,2,172.06,Frequent Low-Spenders
12443,732,1,485.31,1,485.31,Inactive/At-Risk Customers
12445,22,2,434.98,2,217.49,Frequent Low-Spenders
12446,58,1,1002.31,2,1002.31,Frequent Low-Spenders
12447,243,1,476.49,2,476.49,Frequent Low-Spenders
12448,44,1,449.45,2,449.45,Frequent Low-Spenders
12450,156,5,688.2,2,137.64,Frequent Low-Spenders
12452,17,2,430.57,2,215.28,Frequent Low-Spenders
12453,134,1,707.09,2,707.09,Frequent Low-Spenders
12456,44,3,3181.04,0,1060.35,Loyal Customers
12457,66,8,2995.91,3,374.49,Recent Big Spenders
12458,71,4,1777.49,0,444.37,Loyal Customers
12459,605,1,454.36,1,454.36,Inactive/At-Risk Customers
12460,456,1,326.65,1,326.65,Inactive/At-Risk Customers
12461,94,2,826.88,2,413.44,Frequent Low-Spenders
12462,19,2,1189.59,2,594.79,Frequent Low-Spenders
12463,53,4,1344.78,0,336.2,Loyal Customers
12464,10,8,1212.05,0,151.51,Loyal Customers
12465,17,2,742.1899999999999,2,371.1,Frequent Low-Spenders
12466,682,1,56.73,1,56.73,Inactive/At-Risk Customers
12467,423,1,132.8,1,132.8,Inactive/At-Risk Customers
12468,188,5,3670.74,3,734.15,Recent Big Spenders
12469,523,2,3070.54,0,1535.27,Loyal Customers
12470,690,1,211.95,1,211.95,Inactive/At-Risk Customers
12473,29,5,2954.65,0,590.93,Loyal Customers
12475,54,2,1149.64,2,574.82,Frequent Low-Spenders
12478,4,1,680.99,2,680.99,Frequent Low-Spenders
12479,11,1,527.2,2,527.2,Frequent Low-Spenders
12485,529,1,708.1,1,708.1,Inactive/At-Risk Customers
12486,432,1,1037.28,1,1037.28,Inactive/At-Risk Customers
12487,731,1,285.3,1,285.3,Inactive/At-Risk Customers
12488,10,3,1298.66,2,432.89,Frequent Low-Spenders
12489,336,1,334.93,1,334.93,Inactive/At-Risk Customers
12491,39,1,460.4,2,460.4,Frequent Low-Spenders
12492,63,3,715.21,2,238.4,Frequent Low-Spenders
12493,166,2,433.74,2,216.87,Frequent Low-Spenders
12494,16,9,1815.27,3,201.7,Recent Big Spenders
12495,641,1,357.4,1,357.4,Inactive/At-Risk Customers
12496,620,2,45.339999999999996,1,22.67,Inactive/At-Risk Customers
12498,21,3,403.7,2,134.57,Frequent Low-Spenders
12499,560,1,393.71999999999997,1,393.72,Inactive/At-Risk Customers
12501,337,1,2169.39,0,2169.39,Loyal Customers
12502,96,5,3723.87,3,744.77,Recent Big Spenders
12503,584,1,1126.0,1,1126.0,Inactive/At-Risk Customers
12504,18,4,779.05,2,194.76,Frequent Low-Spenders
12505,409,1,955.2,1,955.2,Inactive/At-Risk Customers
12506,233,1,73.5,2,73.5,Frequent Low-Spenders
12507,134,4,1844.06,0,461.02,Loyal Customers
12508,26,2,397.88,2,198.94,Frequent Low-Spenders
12509,284,1,176.5,1,176.5,Inactive/At-Risk Customers
12511,429,1,3084.02,0,3084.02,Loyal Customers
12512,66,2,132.18,2,66.09,Frequent Low-Spenders
12513,113,1,612.29,2,612.29,Frequent Low-Spenders
12514,267,2,1597.76,0,798.88,Loyal Customers
12515,353,1,383.7,1,383.7,Inactive/At-Risk Customers
12516,78,4,2648.62,0,662.16,Loyal Customers
12517,28,5,2481.6,0,496.32,Loyal Customers
12518,1,5,2056.89,0,411.38,Loyal Customers
12519,64,2,716.54,2,358.27,Frequent Low-Spenders
12520,79,5,2634.2599999999998,0,526.85,Loyal Customers
12521,143,1,599.6800000000001,2,599.68,Frequent Low-Spenders
12522,39,2,192.72,2,96.36,Frequent Low-Spenders
12525,498,3,973.73,1,324.58,Inactive/At-Risk Customers
12526,1,3,1316.66,2,438.89,Frequent Low-Spenders
12527,82,5,735.51,2,147.1,Frequent Low-Spenders
12528,9,6,1933.48,0,322.25,Loyal Customers
12529,528,1,316.48,1,316.48,Inactive/At-Risk Customers
12530,60,9,3759.26,3,417.7,Recent Big Spenders
12531,15,2,1933.2,0,966.6,Loyal Customers
12532,30,1,349.83,2,349.83,Frequent Low-Spenders
12533,628,2,1367.89,1,683.94,Inactive/At-Risk Customers
12534,131,1,1089.18,2,1089.18,Frequent Low-Spenders
12535,92,2,716.35,2,358.18,Frequent Low-Spenders
12537,409,1,732.9399999999999,1,732.94,Inactive/At-Risk Customers
12538,29,2,640.45,2,320.23,Frequent Low-Spenders
12541,30,3,981.18,2,327.06,Frequent Low-Spenders
12542,484,2,481.88,1,240.94,Inactive/At-Risk Customers
12543,448,1,980.25,1,980.25,Inactive/At-Risk Customers
12544,36,1,372.7,2,372.7,Frequent Low-Spenders
12545,75,2,1000.39,2,500.2,Frequent Low-Spenders
12546,47,2,1161.5,2,580.75,Frequent Low-Spenders
12547,198,3,383.58,2,127.86,Frequent Low-Spenders
12548,166,1,95.19999999999999,2,95.2,Frequent Low-Spenders
12549,576,6,1575.6799999999998,1,262.61,Inactive/At-Risk Customers
12550,79,1,964.83,2,964.83,Frequent Low-Spenders
12551,358,1,168.0,1,168.0,Inactive/At-Risk Customers
12552,39,2,437.82,2,218.91,Frequent Low-Spenders
12554,449,1,468.5,1,468.5,Inactive/At-Risk Customers
12555,682,1,129.23,1,129.23,Inactive/At-Risk Customers
12556,50,2,599.5600000000001,2,299.78,Frequent Low-Spenders
12558,8,1,269.96,2,269.96,Frequent Low-Spenders
12559,311,2,561.71,1,280.86,Inactive/At-Risk Customers
12560,5,3,2134.0099999999998,0,711.34,Loyal Customers
12561,303,1,238.85,1,238.85,Inactive/At-Risk Customers
12563,409,1,249.24,1,249.24,Inactive/At-Risk Customers
12564,261,1,456.9,2,456.9,Frequent Low-Spenders
12565,289,1,145.92,1,145.92,Inactive/At-Risk Customers
12566,86,1,351.65,2,351.65,Frequent Low-Spenders
12568,645,1,70.0,1,70.0,Inactive/At-Risk Customers
12570,682,1,77.52,1,77.52,Inactive/At-Risk Customers
12571,40,2,519.61,2,259.8,Frequent Low-Spenders
12572,9,2,1020.42,2,510.21,Frequent Low-Spenders
12573,227,5,717.41,0,143.48,Loyal Customers
12574,316,1,218.45000000000002,1,218.45,Inactive/At-Risk Customers
12575,457,2,622.82,1,311.41,Inactive/At-Risk Customers
12576,36,8,2142.72,3,267.84,Recent Big Spenders
12577,35,8,1617.1,0,202.14,Loyal Customers
12579,78,1,440.42,2,440.42,Frequent Low-Spenders
12580,247,2,1052.9,2,526.45,Frequent Low-Spenders
12581,40,1,197.71,2,197.71,Frequent Low-Spenders
12582,239,4,1980.3999999999999,0,495.1,Loyal Customers
12584,4,9,2338.15,3,259.79,Recent Big Spenders
12585,234,2,2040.1,0,1020.05,Loyal Customers
12586,17,4,2062.67,0,515.67,Loyal Customers
12587,8,1,144.0,2,144.0,Frequent Low-Spenders
12588,39,4,958.78,2,239.7,Frequent Low-Spenders
12591,317,3,1338.95,0,446.32,Loyal Customers
12592,92,5,2582.66,0,516.53,Loyal Customers
12593,109,3,418.09999999999997,2,139.37,Frequent Low-Spenders
12595,505,1,299.02,1,299.02,Inactive/At-Risk Customers
12596,51,2,618.27,2,309.14,Frequent Low-Spenders
12597,19,4,3811.22,3,952.8,Recent Big Spenders
12599,29,13,2296.72,3,176.67,Recent Big Spenders
12601,190,6,681.26,0,113.54,Loyal Customers
12602,59,1,153.12,2,153.12,Frequent Low-Spenders
12603,22,1,739.2,2,739.2,Frequent Low-Spenders
12604,79,2,254.17999999999998,2,127.09,Frequent Low-Spenders
12605,376,4,1232.95,1,308.24,Inactive/At-Risk Customers
12606,682,1,21.0,1,21.0,Inactive/At-Risk Customers
12607,60,1,1579.51,2,1579.51,Frequent Low-Spenders
12608,405,1,415.79,1,415.79,Inactive/At-Risk Customers
12609,78,9,3435.86,3,381.76,Recent Big Spenders
12610,23,5,2099.54,0,419.91,Loyal Customers
12611,52,1,1193.32,2,1193.32,Frequent Low-Spenders
12612,74,1,704.04,2,704.04,Frequent Low-Spenders
12614,278,1,315.6,2,315.6,Frequent Low-Spenders
12616,95,3,1131.1,2,377.03,Frequent Low-Spenders
12617,29,1,352.98,2,352.98,Frequent Low-Spenders
12618,22,1,177.31,2,177.31,Frequent Low-Spenders
12619,16,10,3781.38,3,378.14,Recent Big Spenders
12620,15,3,1339.41,0,446.47,Loyal Customers
12622,232,1,180.1,2,180.1,Frequent Low-Spenders
12623,276,7,3747.84,3,535.41,Recent Big Spenders
12624,106,2,641.13,2,320.56,Frequent Low-Spenders
12628,4,3,786.46,2,262.15,Frequent Low-Spenders
12629,386,2,1558.22,1,779.11,Inactive/At-Risk Customers
12630,10,2,1270.8799999999999,2,635.44,Frequent Low-Spenders
12631,57,6,3481.57,3,580.26,Recent Big Spenders
12632,521,2,804.88,1,402.44,Inactive/At-Risk Customers
12634,536,2,490.0,1,245.0,Inactive/At-Risk Customers
12635,90,4,2930.41,0,732.6,Loyal Customers
12636,739,1,141.0,1,141.0,Inactive/At-Risk Customers
12638,33,2,921.49,2,460.74,Frequent Low-Spenders
12639,239,3,1312.37,0,437.46,Loyal Customers
12640,24,3,1174.58,2,391.53,Frequent Low-Spenders
12641,115,1,185.9,2,185.9,Frequent Low-Spenders
12642,25,3,1013.26,2,337.75,Frequent Low-Spenders
12644,130,4,1918.49,0,479.62,Loyal Customers
12645,34,8,3539.2999999999997,3,442.41,Recent Big Spenders
12646,5,2,1346.97,2,673.48,Frequent Low-Spenders
12648,155,4,1112.0,0,278.0,Loyal Customers
12649,107,8,2294.65,3,286.83,Recent Big Spenders
12650,3,1,314.44,2,314.44,Frequent Low-Spenders
12651,335,4,377.75,1,94.44,Inactive/At-Risk Customers
12652,331,2,1017.03,1,508.52,Inactive/At-Risk Customers
12654,11,5,601.98,2,120.4,Frequent Low-Spenders
12655,424,1,261.35,1,261.35,Inactive/At-Risk Customers
12657,11,4,1643.18,0,410.8,Loyal Customers
12658,19,1,686.05,2,686.05,Frequent Low-Spenders
12659,30,1,91.68,2,91.68,Frequent Low-Spenders
12660,11,1,245.1,2,245.1,Frequent Low-Spenders
12661,436,1,162.0,1,162.0,Inactive/At-Risk Customers
12663,625,2,239.39999999999998,1,119.7,Inactive/At-Risk Customers
12665,325,3,313.6,1,104.53,Inactive/At-Risk Customers
12666,394,1,1248.42,1,1248.42,Inactive/At-Risk Customers
12667,58,1,620.13,2,620.13,Frequent Low-Spenders
12669,151,3,2744.03,0,914.68,Loyal Customers
12670,10,7,3760.29,3,537.18,Recent Big Spenders
12671,606,1,2622.4809999999998,1,2622.48,Inactive/At-Risk Customers
12672,330,2,437.05,1,218.52,Inactive/At-Risk Customers
12673,5,3,1230.02,2,410.01,Frequent Low-Spenders
12674,39,4,1970.6,0,492.65,Loyal Customers
12675,554,2,957.25,1,478.62,Inactive/At-Risk Customers
12676,25,11,2843.09,3,258.46,Recent Big Spenders
12677,555,2,395.1,1,197.55,Inactive/At-Risk Customers
12679,59,4,1113.02,0,278.26,Loyal Customers
12680,1,4,880.81,2,220.2,Frequent Low-Spenders
12684,8,7,2283.63,0,326.23,Loyal Customers
12685,28,6,2863.08,3,477.18,Recent Big Spenders
12686,372,1,89.14,1,89.14,Inactive/At-Risk Customers
12687,481,2,2138.91,1,1069.46,Inactive/At-Risk Customers
12689,26,2,1247.61,2,623.8,Frequent Low-Spenders
12690,206,1,389.01,2,389.01,Frequent Low-Spenders
12691,28,7,1170.4,0,167.2,Loyal Customers
12692,637,1,110.95,1,110.95,Inactive/At-Risk Customers
12693,127,7,1703.02,0,243.29,Loyal Customers
12694,70,3,1843.35,0,614.45,Loyal Customers
12695,7,7,1407.12,0,201.02,Loyal Customers
12696,435,2,851.91,1,425.96,Inactive/At-Risk Customers
12697,29,3,957.59,2,319.2,Frequent Low-Spenders
12698,590,1,339.75,1,339.75,Inactive/At-Risk Customers
12699,418,1,638.11,1,638.11,Inactive/At-Risk Customers
12701,80,6,2446.41,0,407.73,Loyal Customers
12702,20,1,219.0,2,219.0,Frequent Low-Spenders
12703,71,4,1006.53,2,251.63,Frequent Low-Spenders
12704,7,8,2340.84,3,292.6,Recent Big Spenders
12707,292,1,603.42,1,603.42,Inactive/At-Risk Customers
12710,97,3,1149.02,2,383.01,Frequent Low-Spenders
12711,612,2,1339.05,1,669.52,Inactive/At-Risk Customers
12713,1,1,848.55,2,848.55,Frequent Low-Spenders
12715,106,1,343.36,2,343.36,Frequent Low-Spenders
12716,4,2,1053.49,2,526.74,Frequent Low-Spenders
12717,151,3,1308.91,0,436.3,Loyal Customers
12718,71,1,238.25,2,238.25,Frequent Low-Spenders
12719,5,2,644.95,2,322.48,Frequent Low-Spenders
12722,85,4,997.63,2,249.41,Frequent Low-Spenders
12723,4,5,725.07,2,145.01,Frequent Low-Spenders
12724,5,7,2317.52,0,331.07,Loyal Customers
12725,371,4,2266.76,0,566.69,Loyal Customers
12728,71,5,1070.17,0,214.03,Loyal Customers
12729,114,1,453.01,2,453.01,Frequent Low-Spenders
12730,522,1,829.25,1,829.25,Inactive/At-Risk Customers
12732,180,1,236.26000000000002,2,236.26,Frequent Low-Spenders
12733,234,4,2424.87,0,606.22,Loyal Customers
12734,353,3,639.65,1,213.22,Inactive/At-Risk Customers
12735,315,2,779.5699999999999,1,389.78,Inactive/At-Risk Customers
12736,333,1,234.0,1,234.0,Inactive/At-Risk Customers
12737,499,2,3710.5,0,1855.25,Loyal Customers
12738,372,1,155.35,1,155.35,Inactive/At-Risk Customers
12739,78,4,2726.73,0,681.68,Loyal Customers
12740,64,1,427.6,2,427.6,Frequent Low-Spenders
12741,529,2,406.07,1,203.04,Inactive/At-Risk Customers
12742,626,1,1201.52,1,1201.52,Inactive/At-Risk Customers
12743,134,2,540.13,2,270.06,Frequent Low-Spenders
12745,487,3,925.41,1,308.47,Inactive/At-Risk Customers
12746,541,1,254.55,1,254.55,Inactive/At-Risk Customers
12750,129,1,275.88,2,275.88,Frequent Low-Spenders
12751,445,1,268.27,1,268.27,Inactive/At-Risk Customers
12754,236,3,3010.7400000000002,0,1003.58,Loyal Customers
12756,87,1,112.08,2,112.08,Frequent Low-Spenders
12760,456,1,347.8,1,347.8,Inactive/At-Risk Customers
12761,458,2,782.95,1,391.48,Inactive/At-Risk Customers
12762,8,2,1898.52,0,949.26,Loyal Customers
12763,138,2,494.08,2,247.04,Frequent Low-Spenders
12764,317,1,1693.88,1,1693.88,Inactive/At-Risk Customers
12765,472,6,1404.58,0,234.1,Loyal Customers
12767,376,1,949.82,1,949.82,Inactive/At-Risk Customers
12768,451,1,168.69,1,168.69,Inactive/At-Risk Customers
12769,239,1,1143.6,2,1143.6,Frequent Low-Spenders
12770,211,2,3246.45,0,1623.22,Loyal Customers
12771,486,1,282.3,1,282.3,Inactive/At-Risk Customers
12772,60,1,892.47,2,892.47,Frequent Low-Spenders
12773,564,1,124.25,1,124.25,Inactive/At-Risk Customers
12774,536,1,98.7,1,98.7,Inactive/At-Risk Customers
12775,17,7,1686.12,0,240.87,Loyal Customers
12776,668,1,55.5,1,55.5,Inactive/At-Risk Customers
12777,458,1,519.45,1,519.45,Inactive/At-Risk Customers
12778,20,9,1775.68,3,197.3,Recent Big Spenders
12780,599,1,337.4,1,337.4,Inactive/At-Risk Customers
12781,64,2,826.74,2,413.37,Frequent Low-Spenders
12783,2,6,2225.91,0,370.98,Loyal Customers
12784,9,3,1763.15,0,587.72,Loyal Customers
12785,364,3,1100.4,1,366.8,Inactive/At-Risk Customers
12786,610,1,728.5,1,728.5,Inactive/At-Risk Customers
12787,10,4,862.18,2,215.54,Frequent Low-Spenders
12788,463,4,444.9,1,111.22,Inactive/At-Risk Customers
12789,65,3,273.35,2,91.12,Frequent Low-Spenders
12790,192,2,591.85,2,295.92,Frequent Low-Spenders
12791,374,6,863.51,0,143.92,Loyal Customers
12792,257,2,827.01,2,413.5,Frequent Low-Spenders
12793,335,3,885.53,1,295.18,Inactive/At-Risk Customers
12794,53,2,860.41,2,430.2,Frequent Low-Spenders
12795,19,1,430.48,2,430.48,Frequent Low-Spenders
12796,628,1,381.0,1,381.0,Inactive/At-Risk Customers
12797,366,2,552.08,1,276.04,Inactive/At-Risk Customers
12799,529,1,219.35,1,219.35,Inactive/At-Risk Customers
12800,470,3,584.25,1,194.75,Inactive/At-Risk Customers
12801,501,1,1071.82,1,1071.82,Inactive/At-Risk Customers
12802,187,7,2416.42,0,345.2,Loyal Customers
12803,393,1,1092.81,1,1092.81,Inactive/At-Risk Customers
12804,466,2,325.37,1,162.68,Inactive/At-Risk Customers
12805,382,4,1434.95,0,358.74,Loyal Customers
12806,435,4,2878.96,0,719.74,Loyal Customers
12807,383,1,330.34999999999997,1,330.35,Inactive/At-Risk Customers
12808,37,5,776.7,2,155.34,Frequent Low-Spenders
12809,178,3,1755.94,0,585.31,Loyal Customers
12810,535,2,534.99,1,267.5,Inactive/At-Risk Customers
12811,261,5,1033.9,0,206.78,Loyal Customers
12812,45,1,229.64,2,229.64,Frequent Low-Spenders
12813,502,3,1687.8,1,562.6,Inactive/At-Risk Customers
12814,102,1,125.92,2,125.92,Frequent Low-Spenders
12815,148,2,1063.46,2,531.73,Frequent Low-Spenders
12816,96,2,572.2,2,286.1,Frequent Low-Spenders
12817,281,3,690.98,2,230.33,Frequent Low-Spenders
12818,262,1,1542.08,2,1542.08,Frequent Low-Spenders
12819,458,1,540.52,1,540.52,Inactive/At-Risk Customers
12820,3,11,2689.52,3,244.5,Recent Big Spenders
12821,214,2,220.8,2,110.4,Frequent Low-Spenders
12822,71,2,948.88,2,474.44,Frequent Low-Spenders
12824,60,1,397.12,2,397.12,Frequent Low-Spenders
12825,521,2,518.63,1,259.32,Inactive/At-Risk Customers
12826,3,12,2800.75,3,233.4,Recent Big Spenders
12827,6,3,430.15,2,143.38,Frequent Low-Spenders
12828,3,6,1018.7099999999999,0,169.78,Loyal Customers
12829,337,3,385.3,1,128.43,Inactive/At-Risk Customers
12831,262,3,451.11,2,150.37,Frequent Low-Spenders
12832,32,2,383.03000000000003,2,191.52,Frequent Low-Spenders
12833,145,1,417.38,2,417.38,Frequent Low-Spenders
12834,283,1,312.38,2,312.38,Frequent Low-Spenders
12837,173,2,662.66,2,331.33,Frequent Low-Spenders
12838,34,10,2975.91,3,297.59,Recent Big Spenders
12842,70,4,1917.99,0,479.5,Loyal Customers
12844,29,4,648.6,2,162.15,Frequent Low-Spenders
12845,267,4,354.09000000000003,2,88.52,Frequent Low-Spenders
12846,682,1,15.58,1,15.58,Inactive/At-Risk Customers
12847,22,2,1609.0,0,804.5,Loyal Customers
12848,676,1,208.0,1,208.0,Inactive/At-Risk Customers
12849,31,6,3042.47,3,507.08,Recent Big Spenders
12850,446,1,330.0,1,330.0,Inactive/At-Risk Customers
12851,97,2,280.76,2,140.38,Frequent Low-Spenders
12852,295,1,311.54999999999995,1,311.55,Inactive/At-Risk Customers
12853,135,11,3907.5,3,355.23,Recent Big Spenders
12854,79,7,2970.97,3,424.42,Recent Big Spenders
12855,373,4,612.84,1,153.21,Inactive/At-Risk Customers
12856,8,6,2170.78,0,361.8,Loyal Customers
12857,211,6,3688.0,3,614.67,Recent Big Spenders
12858,383,1,147.27,1,147.27,Inactive/At-Risk Customers
12859,459,1,575.1,1,575.1,Inactive/At-Risk Customers
12860,693,1,54.22,1,54.22,Inactive/At-Risk Customers
12861,620,1,68.25,1,68.25,Inactive/At-Risk Customers
12862,426,2,984.62,1,492.31,Inactive/At-Risk Customers
12863,52,6,2792.55,0,465.42,Loyal Customers
12864,138,2,299.57,2,149.78,Frequent Low-Spenders
12865,26,4,3323.47,0,830.87,Loyal Customers
12866,283,3,1227.35,0,409.12,Loyal Customers
12868,186,8,2043.76,0,255.47,Loyal Customers
12869,682,1,337.67,1,337.67,Inactive/At-Risk Customers
12870,375,3,1676.95,0,558.98,Loyal Customers
12871,84,3,744.02,2,248.01,Frequent Low-Spenders
12872,327,12,3283.96,3,273.66,Recent Big Spenders
12873,282,3,2027.3,0,675.77,Loyal Customers
12874,385,2,948.42,1,474.21,Inactive/At-Risk Customers
12875,143,5,1356.99,0,271.4,Loyal Customers
12878,236,2,854.99,2,427.5,Frequent Low-Spenders
12879,45,3,573.22,2,191.07,Frequent Low-Spenders
12880,382,2,640.13,1,320.06,Inactive/At-Risk Customers
12881,276,1,298.0,2,298.0,Frequent Low-Spenders
12882,9,2,1463.04,2,731.52,Frequent Low-Spenders
12883,25,4,703.47,2,175.87,Frequent Low-Spenders
12884,88,1,309.05,2,309.05,Frequent Low-Spenders
12885,63,3,1175.22,2,391.74,Frequent Low-Spenders
12886,68,2,1378.4,2,689.2,Frequent Low-Spenders
12887,384,1,222.4,1,222.4,Inactive/At-Risk Customers
12888,214,2,354.12,2,177.06,Frequent Low-Spenders
12889,381,4,385.46,1,96.36,Inactive/At-Risk Customers
12890,24,2,706.02,2,353.01,Frequent Low-Spenders
12891,186,11,840.5,0,76.41,Loyal Customers
12892,397,1,263.38,1,263.38,Inactive/At-Risk Customers
12893,31,1,176.55,2,176.55,Frequent Low-Spenders
12894,575,1,157.35,1,157.35,Inactive/At-Risk Customers
12895,42,2,372.8,2,186.4,Frequent Low-Spenders
12897,205,4,514.25,2,128.56,Frequent Low-Spenders
12898,464,2,296.21,1,148.1,Inactive/At-Risk Customers
12899,414,1,366.4,1,366.4,Inactive/At-Risk Customers
12900,422,1,340.33,1,340.33,Inactive/At-Risk Customers
12902,265,1,138.68,2,138.68,Frequent Low-Spenders
12903,429,1,833.53,1,833.53,Inactive/At-Risk Customers
12904,18,2,496.06,2,248.03,Frequent Low-Spenders
12905,577,2,1018.42,1,509.21,Inactive/At-Risk Customers
12906,12,5,2919.81,0,583.96,Loyal Customers
12907,396,2,508.91,1,254.46,Inactive/At-Risk Customers
12908,176,5,1776.0,0,355.2,Loyal Customers
12909,40,8,3088.34,3,386.04,Recent Big Spenders
12911,552,1,1651.72,1,1651.72,Inactive/At-Risk Customers
12912,3,5,1662.3,0,332.46,Loyal Customers
12914,401,1,223.98,1,223.98,Inactive/At-Risk Customers
12915,149,4,975.1,2,243.78,Frequent Low-Spenders
12919,8,6,1335.19,0,222.53,Loyal Customers
12920,17,4,486.64,2,121.66,Frequent Low-Spenders
12922,161,1,405.38,2,405.38,Frequent Low-Spenders
12923,64,3,770.42,2,256.81,Frequent Low-Spenders
12924,88,12,2469.4,3,205.78,Recent Big Spenders
12925,5,3,729.33,2,243.11,Frequent Low-Spenders
12926,411,4,1523.97,0,380.99,Loyal Customers
12927,395,1,197.31,1,197.31,Inactive/At-Risk Customers
12929,312,1,117.85,1,117.85,Inactive/At-Risk Customers
12930,78,2,415.8,2,207.9,Frequent Low-Spenders
12932,539,8,1698.56,0,212.32,Loyal Customers
12933,24,8,1636.6299999999999,0,204.58,Loyal Customers
12934,737,1,181.65,1,181.65,Inactive/At-Risk Customers
12936,17,4,1063.8999999999999,2,265.97,Frequent Low-Spenders
12937,15,9,3097.61,3,344.18,Recent Big Spenders
12938,26,1,114.14,2,114.14,Frequent Low-Spenders
12940,55,2,899.6899999999999,2,449.84,Frequent Low-Spenders
12941,724,1,377.49,1,377.49,Inactive/At-Risk Customers
12942,131,3,675.6,2,225.2,Frequent Low-Spenders
12943,558,2,496.5,1,248.25,Inactive/At-Risk Customers
12944,36,2,604.51,2,302.26,Frequent Low-Spenders
12945,288,2,900.11,2,450.06,Frequent Low-Spenders
12946,437,1,324.45,1,324.45,Inactive/At-Risk Customers
12947,144,6,1603.99,0,267.33,Loyal Customers
12948,16,9,2317.43,3,257.49,Recent Big Spenders
12950,2,3,1843.0,0,614.33,Loyal Customers
12951,9,15,3213.72,3,214.25,Recent Big Spenders
12952,6,4,1387.79,0,346.95,Loyal Customers
